L1,L2
"In a tweet today, Mr. Modi said, Union Budget represents the aspirations of 130 crore Indians and lays out the path towards India’s development.",श्री मोदी ने कहा कि इससे 130 करोड़ लोगों की उम्मीदों और आकांक्षाओं का पता चलता है।
The announcement came as a boon especially for people who have to travel under emergency condition.,"यह घोषणा उन लोगों के लिए वरदान साबित होगी, जिन्हें आपातकालीन स्थिति में यात्रा करनी पड़ती है।"
The Consulate in Dubai receives about 850 applications for passport applications.,दुबई में वाणिज्य दूत को पासपोर्ट के लिए करीब साढ़े आठ सौ आवेदन प्राप्त होते हैं।
Five porters were working along the LoC at about 1100 hours when Pak Army initiated unprovoked mortar shelling and a shell hit them directly.,ये लोग आज दूसरे पहर करीब 1100 बजे नियंत्रण रेखा के पास काम कर रहे थे जब पाकिस्तानी सेना ने अकारण गोलाबारी शुरू कर दी।
"US officials have said that the Ukraine airliner that crashed in Iran, killing all 176 people aboard, was most likely brought down accidentally by Iranian air defence missiles.",अमरीकी अधिकारियों ने आशंका व्यक्त की है कि ईरान में दुर्घटनाग्रस्त हुए यूक्रेन के विमान को ईरानी वायु रक्षा मिसाइलों द्वारा गलती से मार गिराया गया होगा।
The Ministry had instituted the award in June last year to mark the contribution of media in spreading the message of Yoga.,यह पुरस्कार देश और विदेश में योग के प्रचार में सकारात्मक भूमिका निभाने वाले मीडिया संस्थानों के लिए पिछले वर्ष जून से शुरू किया गया था।
The last date for submission of application form for NEET (UG) 2020 has been extended till 6th of January.,राष्ट्रीय परीक्षा एजेंसी ने स्नातक चिकित्सा पाठ्यक्रमों-एमबीबीएस और डेंटल संबंधी राष्ट्रीय पात्रता और प्रवेश परीक्षा नीट-2020 के लिए आवेदन पत्र जमा करने की अंतिम तिथि 6 जनवरी तक बढ़ा दी है।
"According to the first advanced estimates of the national income released by National Statistical Office (NSO) today, the decline has been mainly on account of deceleration in manufacturing sector growth, which is expected to come down to 2 per cent in 2019-20 from  6.2 per cent in the year-ago fiscal.",राष्ट्रीय सांख्यिकी कार्यालय एनएसओ द्वारा आज जारी राष्ट्रीय आय के पहले अग्रिम अनुमानों के अनुसार यह गिरावट मुख्य रूप से विनिर्माण क्षेत्र में सुस्ती के कारण आई है।
The Indian economy is estimated to grow at 5 per cent in 2019-20 as against  6.8 per cent in the previous fiscal.,"पिछले साल विनिर्माण क्षेत्र की विकास दर छह दशमलव दो प्रतिशत रही थी, जिसके 2019-20 में घटकर 2 प्रतिशत पर आ जाने की आशंका है।"
And there was also performance by the very popular singer Shanker Mahadevan.,लोकप्रिय गायक शंकर महादेवन ने अपनी मनमोहक प्रस्तुति से सभी का मन मोह लिया।
Minister Ravi Shankar Prasad noted that the undersea cables linking Andaman and Nicobar Islands with the mainland would further strengthen the emotional bond with the islanders.,उन्होंने कहा कि इससे अंडमान-निकोबार समूह और मुख्य भूमि के लोगों के बीच भावनात्मक संबंध और मजबूत होगा।
"The Minister said, banking services will be delivered at the footsteps of the people even at far-flung areas using the vast network of Post Offices in the country combined with Information Technology.",उन्होंने कहा कि डाकघरों को सूचना प्रौद्योगिकी से जोड़कर दूर-दराज के लोगों तक बैंकिंग सुविधाएं पहुंचाई जा रही हैं।
"He said, 268 Mobile Phone Manufacturing Units are functioning in India now including Apple, providing employment to over  6.5 lakh people directly and indirectly.",श्री रविशंकर प्रसाद ने बताया है कि देश में मोबाइल फोन बनाने वाली दो सौ 68 इकाइयां है जिनमें साढ़े छह लाख लोगों को सीधे रोजगार मिला है।
"Later in the day, London Olympics bronze-medallist, Saina was outplayed by Olympic champion Spaniard Carolina Marin.",ओलिम्पिक कांस्य पदक विजेता सायना की भिडंत कोरिया की आन से यंग से होगी।
"Quoting the letter newsagency AFP reported, forces from the US-led coalition in Iraq would be repositioning in the coming days and weeks to prepare for onward movement.",समाचार एजेंसी ए एफ पी ने पत्र के हवाले से खबर दी थी कि इराक में अमरीकी नेतृत्व में गठबंधन सेना अगले कुछ दिनों में अपनी स्थिति बदल रही है और अगली कार्रवाई की तैयारी कर रही है।
"During the meeting, he sought a detailed report on proposed Townships, identified Housing Sites and proposed Satellite Township Projects under Jammu Metropolitan Region Development Authority (JMRDA) and Srinagar Metropolitan Region Development Authority (SMRDA).","इस बैठक के दौरान उन्होंने उपनगरों, भवन निर्माण स्थल की पहचान और दोनों महानगरों में प्रस्तावित सेटेलाइट टाउनशिप परियोजना के प्रस्ताव का विस्तृत ब्यौरा मांगा है।"
"He further directed them to notify the members of their governing bodies, especially the elected representatives in consonance with the 74th Constitutional Amendment.",उन्होंने 74वें संविधान संशोधन के अंतर्गत शासी निकायों के प्रतिनिधियों के नाम घोषित करने का निर्देश दिया।
"On land-use plan, Murmu directed for detailed deion of green area, Floor Area Ratio etc in the said plan.","भूमि उपयोग के बारे में मुर्मू ने प्रस्तावित योजना में हरित क्षेत्र, भूखंड क्षेत्र आदि का विस्तृत विवरण देने को कहा है।"
"During his visit to forward post in the Siachen, he underlined the importance of the armed forces in the inhospitable conditions.",सियाचिन यात्रा के दौरान उन्होंने कठिन परिस्थितियों में सैन्य बलों के महत्व पर चर्चा की।
"Keeping the affordability concerns of daily commuters, there shall be no fare hike for passengers over suburban sections and season ticket holders.",दैनिक यात्रा करने वाले मुसाफिरों को ध्यान में रखते हुए उप-नगरीय खंडों के किराये और मासिक टिकट लेने वाले यात्रियों के किराये में कोई बढ़ोतरी नहीं की गई है।
The Centre moved the Supreme Court today seeking transfer of petitions challenging the constitutional validity of the Citizenship Amendment Act (CAA) pending before different high courts to top court.,केंद्र ने उच्चतम न्यायालय से अनुरोध किया है कि नागरिकता संशोधन अधिनियम की संवैधानिक वैधता को चुनौती देने वाली विभिन्न उच्च न्यायालयों में लंबित सभी याचिकाओं को उच्चतम न्यायालय में लाने के लिए कहा जाए।
The world Braille Day is being celebrated today.,आकाशवाणी समाचार की ओर से आज विश्व ब्रेल दिवस अनोखे ढंग से मनाया गया।
This was revealed in a report of Department for Promotion of Industry and Internal Trade (DPIIT) under the Union Ministry of Commerce and Industry.,यह जानकारी केन्द्रीय वाणिज्य और उद्योग मंत्रालय द्वारा जारी एक रिपोर्ट में दी गई है।
He categorically asserted that there will be no change in CAA. He added that more than 500 Muslim persons including people from Pakistan also got citizenship after completing the proper procedure as laid down by the relevant law.,उन्होंने यह भी कहा कि पाकिस्तान के लोगों समेत पांच सौ से अधिक मुसलमानों को संबंधित कानून के अंतर्गत निर्धारित प्रक्रिया पूरी करने के बाद भारत की नागरिकता दी गई हैं।
"The Britain-based organization said, the planes struck, among other targets, weapons depots and vehicles belonging to the militias.",ब्रिटेन स्थित सीरीयन ऑब्ज़रवेटरी फॉर ह्यूमन राइट्स ने कहा है कि विमानों ने मिलिशिया के हथियार भंडारों और वाहनों को निशाना बनाया था।
The measure passed the Democratic-run chamber 224-194 but faces an uphill task in the Republican-held Senate.,"डेमोक्रेट के बहुमत वाले इस सदन ने यह प्रस्ताव एक सौ 94 के मुकाबले दो 24 मतों से पारित कर दिया, लेकिन इसका रिपब्लिकन के बहुमत वाले सीनेट में पारित हो पाना कठिन है।"
"In Assam, a Booth Sammelan of the BJP is underway in Guwahati.",असम में गुवाहाटी में भारतीय जनता पार्टी के बूथ स्तर के कार्यकर्ताओं का सम्मेलन चल रहा है।
State BJP President Mr Dass urged party workers to spread the correct information on CAA. He said that it was the commitment of the BJP to give Citizenship to religious persecuted minorities of the neighbouring countries.,भाजपा के राज्य अध्यक्ष श्री दास ने पार्टी कार्यकर्ताओं से संशोधित नागरिकता कानून के बारे में सही तथ्यों की जानकारी देने का आग्रह किया।
"The Cabinet Committee on Economic Affairs, CCEA has given in-principle approval for the sale of equity held by four Central Public Sector Enterprises and two-state PSUs in Neelachal Ispat Nigam Limited-NINL. It has approved strategic disinvestment of  49.78 per cent equity shareholding of Minerals and Metals Trading Corporation Limited and  10.10 per cent of National Mineral Development Corporation.",मंत्रिमंडल की आर्थिक मामलों की समिति-- सीसीईए ने सार्वजनिक क्षेत्र के चार केंद्रीय उपक्रमों और नीलाचल इस्पात निगम लिमिटेड के अंतर्गत राज्य के सार्वजनिक क्षेत्र की दो कंपनियों की हिस्सा पूंजी बेचने की सैद्धांतिक रूप से अनुमति दे दी है।
The CCEA gave approval for strategic disinvestment of  0.68 per cent of MECON and Bharat Heavy Electricals Limited each.,सीसीईए ने मेटलर्जिकल एण्ड इंजीनियरिंग कन्सलटेंट्स लिमिटेड--मेकॉन और भारत हैवी इलेक्ट्रिकल्स लिमिटेड--बीएचईएल में से प्रत्येक कंपनी में शून्य दशमलव छह-आठ प्रतिशत विनिवेश की अनुमति दी है।
"For India, the series will mark the return of their pace spearhead Jasprit Bumrah who has recovered from lower back surgery, while opener Shikhar Dhawan will also make a comeback.","मैच में भारत के गेंदबाज जसप्रीत बुमरा और प्रारंभिक बल्लेबाज शिखर धवन पर सबकी नजरें होंगी, क्योंकि दोनों खिलाड़ियों की चोट से उबरने के बाद वापसी हुई है।"
"The awards will be conferred on the 8th of March on the occasion of International Women’s Day. The national award is given annually to individuals, groups, institutions in recognition of their exceptional work towards the women empowerment, especially for vulnerable and marginalized women.",8 मार्च को अंतर्राष्ट्रीय महिला दिवस पर ये पुरस्कार प्रदान किए जाएंगे।
"The awards will be conferred on the 8th of March on the occasion of International Women’s Day. The national award is given annually to individuals, groups, institutions in recognition of their exceptional work towards the women empowerment, especially for vulnerable and marginalized women.","नारी शक्ति पुरस्कार व्यक्तियों, समूहों और संगठनों को महिला सशक्तिकरण, विशेषकर गरीब और कमजोर महिलाओं की मदद के लिए किए गए विशिष्ट कार्यों के सम्मानस्वरूप प्रदान किए जाते हैं।"
"In Himachal Pradesh, the mid and higher reaches and tribal regions of the state continued to reel under intense cold as the region received moderate to heavy snowfall for the third day today.","उधर, हिमाचल प्रदेश में बिचले और ऊपरी इलाकों तथा जनजातीय क्षेत्रों में शीतलहर जारी है।"
"In Himachal Pradesh, the mid and higher reaches and tribal regions of the state continued to reel under intense cold as the region received moderate to heavy snowfall for the third day today.",इन इलाकों में आज तीसरे दिन भी कहीं मध्यम और कहीं भारी बर्फ गिरी।
The minimum temperature in Dalhousie was recorded  0.1 degrees Celsius while it was  1.4 degrees Celsius in Shimla.,शिमला में न्यूतम तापमान शून्य से शून्य दशमलव एक डिग्री सेल्सियस तथा कुफरी में शून्य से चार डिग्री सेल्सियस नीचे दर्ज किया गया।
"IMD has predicted snow and rainfall in many places of middle, high hills of the state and thundershowers in the plains till the next seven days.",इस बीच मौसम विभाग का कहना है कि आज भी राज्य के ऊंचे पहाड़ी क्षेत्रों में वर्षा और बर्फ गिर सकती है जबकि मैदानी भागों में वर्षा रहेगी।
Our correspondent reports that the Scheme initially covered only small and marginal farmer families with landholding up to two hectares.,हमारे संवाददाता ने बताया कि इस योजना के अंतर्गत पहले दो हेक्टेयर भूमि वाले लघु और सीमांत किसानों को शामिल करना था।
"According to police, he was trying to create a terrorist module in the state on the ideology of ISIS. An ATS official said that he, along with five other people from Tamilnadu, was involved in crimes like murders and they were trying to spread terrorist activities in Gujarat.",एटीएस के एक अधिकारी ने बताया है कि वह तमिलनाडु के पांच और लोगों के साथ मिलकर हत्या जैसी आपराधिक गतिविधियों में शामिल था तथा गुजरात में आतंकवाद फैलाने में लगा था।
"Rain lashed Delhi and NCR this morning, bringing the mercury down and also causing traffic snarls in various parts of Delhi.",दिल्ली और राष्ट्रीय राजधानी क्षेत्र में बारिश से तापमान में गिरावट आई है।
"According to railways, twenty-one trains were running late for up to five hours due to bad weather.","रेलवे के अनुसार, उत्तरी रेलवे की 16 रेलगाड़ियां खराब मौसम के कारण देरी से चल रही हैं।"
Iran's supreme leader Ayatollah Ali Khamenei vowed severe revenge after the United States killed the commander.,ईरान के शीर्ष नेता अयातुल्ला अली खामनेई ने इस हमले का बदला लेने का संकल्प व्यक्त किया है।
"Over 2,000 students, parents and teachers will be participating from all over India in this event.",विश्वभर से आए हजारों श्रद्धालु इस आयोजन में भाग ले रहे हैं।
"Delhi's air quality at 0930 HRS was recorded at 423 in the ""severe"" category.",सुबह नौ बजे वायु गुणवत्ता सूचकांक 350 था जो खराब श्रेणी में आता है।
"Lauding the role of Prime Minister Narendra Modi, the Minister said that under his able guidance, all the obsolete laws have been scrapped which were rather useless in the current scenario and it is a pride moment for all of us that these obsolete laws have been taken away.",प्रधानमंत्री मोदी की भूमिका की सराहना करते हुए डॉ० जितेन्द्र सिंह ने कहा कि उनके सुयोग्य दिशा-निर्देशों में तमाम पुराने और अप्रचलित कायदे कानूनों को समाप्त कर दिया गया है।
The Minister further said that the Citizenship Amendment Act will be implemented in the UT also and the next move will be to deport Rohingyas from Jammu as CAA does not give any legal leverage to them.,"डॉ० सिंह ने कहा कि संशोधित नागरिकता कानून, जम्मू कश्मीर में भी लागू होगा और अगला कदम जम्मू से रोहिंजा समुदाय के लोगों को उनके देश वापस भेजने का होगा क्योंकि नागरिकता कानून रोहिंजा लोगों को कोई कानूनी महत्व नहीं देता।"
A five-year Vision Document of Department of Administrative Reforms and Public Grievances was released at this juncture besides launching a monitoring Dashboard of the Grievance Portal of Govt.,इस अवसर पर केंद्रीय प्रशासनिक सुधार और लोक शिकायत विभाग का पांच साल का विजन दस्तावेज जारी किया गया।
"of J&K. A Memorandum of Understanding was also signed between DARPG, National Centre for Good Governance and Institute of Management, Public Administration & Rural Development for the capacity building of 1,000 officials of the Government of J&K. The programme is being conducted by DARPG, in collaboration with Government of J&K, NCGG, National Institute of Financial Management and IMPARD for 385 officials of the Government of Jammu and Kashmir.","केंद्रीय प्रशासनिक सुधार और लोक शिकायत विभाग, राष्ट्रीय सुशासन केंद्र और प्रबंधन, लोक प्रशासन तथा ग्रामीण विकास संस्थान के बीच एक समझौता ज्ञापन पर दस्तखत किए गये जिसके अंतर्गत जम्मू कश्मीर सरकार के एक हजार अधिकारियों और कर्मचारियों को क्षमता विकास के लिए प्रशिक्षण दिया जाएगा।"
IGP Crime was also asked to ensure the implementation of Emergency Response Support System.,उन्होंने पुलिस महानिरीक्षक अपराध को भी आपातकालीन प्रतिक्रिया समर्थन प्रणाली-ईआरएसएस की सक्रियता सुनिश्चित कराने के निर्देश दिए।
"370. They also answered questions posed by the delegates on various issues including arrests, internet ban and law and order situation.","उन्होंने गिरफ्तारियों, इंटरनेट पर प्रतिबंध और कानून व्यवस्था समेत कई मुद्दों पर राजदूतों के प्रश्नों का उत्तर दिया और अनुच्छेद 370 हटाए जाने के बाद की अवधि में किसी के नहीं मारे जाने की भी राजदूतों को जानकारी दी।"
He said the CAA has given justice to minorities persecuted on religious grounds in Pakistan and some other countries.,श्री गोयल ने कहा कि पाकिस्तान और कुछ अन्य देशों में धार्मिक आधार पर उत्पीड़ित अल्पसंख्यकों को नागरिकता संशोधन अधिनियम से न्याय मिला है।
"Referring National Register of Citizens, he said NRC should not be linked with National Population Register and CAA. He said that NRC is not yet a law and no discussion is being held over it.",राष्ट्रीय नागरिक रजिस्टर का उल्लेख करते हुए श्री गोयल ने कहा कि इसे राष्ट्रीय जनसंख्या रजिस्टर और नागरिकता संशोधन अधिनियम के साथ नहीं जोड़ा जाना चाहिए।
"In Wrestling, two-time World Cadet champion Sonam Malik stunned Rio Olympic bronze medalist Sakshi Malik in 62kg while another promising junior Anshu Malik knocked out World Championship medalist Pooja Dhanda in 57 kg to seal their places in the Indian team for the Asian Championship in Lucknow today.",तोक्यो ओलंपिक का कोटा हासिल कर चुके पहलवान दीपक पुनिया ने 86 किलोग्राम और रवि कुमार दहिया ने 57 किलोग्राम भार वर्ग में सीनियर एशियाई कुश्ती चैंपियनशिप के लिये क्वालीफाई कर लिया है।
Nirmala Devi (50kg) and Kiran Godara (76kg) were other wrestlers to win the trials.,"इनके अलावा जितेंद्र कुमार 74 किलो भार वर्ग, सत्यव्रत कादियान 97 किलो भार वर्ग और 125 किलो भार वर्ग में सुमित मलिक ने भी क्वालीफाई कर लिया है।"
"Stressing the need for constructive and practical suggestions from different stakeholders, the vice president opined that electoral reforms should be speeded up.",इस बारे में संबंधित पक्षों से सकारात्मक और व्यवहारिक सुझाव मांगे जाने की ज़रूरत पर बल देते हुए उपराष्ट्रपति ने कहा कि चुनावी सुधार की गति को तेज़ किया जाना चाहिये।
About hundred speakers from different walks of life including Election Commission are taking part in the two day conference.,सम्मेलन में निर्वाचन आयोग सहित जीवन के विभिन्न क्षेत्रों से जुड़े लोग भाग ले रहे हैं।
"In Cricket, India secured a massive seven-wicket victory over Sri Lanka in the second T20 International match at the Holkar Stadium in Indore last night.",इंदौर में खेला गया दूसरा मैच सात विकेट से जीतकर भारत श्रृंखला में 1-0 से आगे है।
The first match was abandoned without a ball being bowled due to rain.,गुवाहाटी में पहला मैच बारिश के कारण रद्द घोषित कर दिया गया था।
Union Minister for Road Transport Nitin Gadkari and Minister of State for Home affairs Nityanand Rai were also present at this juncture.,"इस बैठक में गृह मंत्री अमित शाह, सड़क परिवहन और राजमार्ग मंत्री नितिन गडकरी, कृषि और किसान कल्याण मंत्री नरेन्द्र सिंह तोमर, वाणिज्य और उद्योग मंत्री पीयूष गोयल, नीति आयोग के उपाध्यक्ष राजीव कुमार, आयोग के मुख्य कार्यकारी अधिकारी अमिताभ कांत और अन्य वरिष्ठ अधिकारी मौजूद थे।"
The Election Commission has launched a Political Parties Registration Tracking Management System to enable applicants to track the status of the applications.,निर्वाचन आयोग ने राजनीतिक दल के पंजीकरण से संबंधित आवेदनों की स्थिति की जानकारी आसान बनाने के लिए राजनीतिक दल पंजीकरण सूचना प्रबंधन प्रणाली शुरू की है।
"Over 1000 Fast Track Special Courts will be set up across the country for speedy disposal of cases relating to rape and Protection of Children from Sexual Offences (POCSO) Act. Out of these, 389 courts have been proposed to be set up exclusively for POCSO Act related cases in districts where the pendency of such cases is more than",दुष्कर्म और यौन अपराधों से बच्चों के संरक्षण अधिनियम - पोक्सो से संबंधित मामलों के तेजी से निपटारे के लिए देशभर में एक हजार से अधिक फास्ट ट्रैक विशेष अदालतें बनाई जायेंगी।
"100. The Law Ministry has said, these courts will be set-up as a part of the National Mission for Safety of Women.",विधि मंत्रालय ने कहा है कि इन अदालतों की स्थापना राष्ट्रीय महिला सुरक्षा अभियान के हिस्से के रूप में की जायेगी।
"In Himachal Pradesh, higher reaches received fresh snowfall while several areas in the plains and low hills were lashed by rains.",मैदानी इलाकों में हल्की बारिश और पहाड़ी क्षेत्रों में बर्फबारी हो रही है।
MeT department predicts that heavy snowfall may occur in hilly areas and rains with hail is likely to occur at isolated places and in plains.,मौसम विभाग ने पहाड़ी क्षेत्रों में भारी बर्फबारी और मैदानी इलाकों के कुछ क्षेत्रों में बारिश की संभावना व्यक्त की है।
"In Bihar light rainfall has been recorded in several parts of the state including Patna, Gaya, Nawada and Rohtash districts of the state.",राज्य के कुछ मैदानी इलाकों में बारिश होने की उम्मीद है।
The weather department has forecast a partly cloudy sky with moderate fog over the next few days.,मौसम विभाग ने कुछ स्थानों पर गरज चमक के साथ बारिश की संभावना व्यक्त की है।
United States President Donald Trump has threatened severe sanctions against Iraq after its Parliament called on US troops to leave the country.,अमरीकी राष्ट्रपति डोनाल्ड ट्रम्प ने इराकी संसद द्वारा पारित प्रस्ताव के जवाब में इराक के खिलाफ कड़ा प्रतिबंध लगाने की धमकी दी है।
"Oil prices today soared more than two per cent following news that the US had killed a top Iranian General, fanning fresh fears of a conflict in the crude-rich region.",अमरीकी हमले में ईरान के शीर्ष जनरल के मारे जाने की खबरों के बाद अंतरराष्ट्रीय बाजार में तेल की कीमतों में आज दो प्रतिशत से अधिक की वृद्धि हुई है।
The Women Science Congress was inaugurated at the ongoing Indian Science Congress in Bengaluru today.,आज सुबह विज्ञान संचारक कांग्रेस की शुरूआत हुई।
Prime Minister Narendra Modi has asked the scientists to prepare a definite roadmap for the new decade to set the direction and pace of scientific research in various fields in country.,प्रधानमंत्री नरेन्द्र मोदी ने देश को तेज विकास की ओर अग्रसर करने के लिए वैज्ञानिकों से चार कदम उठाने को कहा है।
Prime Minister said we must try and change all forms of waste into wealth as soon as possible.,श्री मोदी ने कहा कि जितनी जल्दी संभव हो हर प्रकार के कचरे को संपन्नता में बदलने के प्रयास किए जाने चाहिए।
"He said, technology is the strength of the Jal Jeevan Mission and it is the responsibility of scientists to develop cheap and effective technology for the recycling of water.",प्रधानमंत्री ने कहा कि प्रौद्योगिकी जल जीवन मिशन की ताकत है और वैज्ञानिकों का उत्तरदायित्व है कि वे पानी की रिसाइक्लिंग के लिए किफायती और प्रभावी प्रौद्योगिकी का विकास करें।
He added that conferences and seminars will also be held during the event.,सम्मेलन के दौरान 28 परिचर्चा सत्र आयोजित किए जाएंगे।
"Prior to this week's deployments, Trump administration had sent 14,000 additional troops to the Mideast since May, when it first publicly claimed Iran is planning attacks on US interests.",ट्रम्प प्रशासन ने इस सप्ताह सैनिकों की तैनाती से पहले पिछले वर्ष मई के बाद पश्चिम एशिया में 14 हजार और सैनिक भेजे थे।
"The strike marked a major escalation in the conflict between Washington and Iran, as Iran vowed harsh retaliation for the killing of the senior military leader.",हमले से अमरीका और ईरान के बीच तनाव बढ़ गया है और ईरान ने अपने वरिष्ठ कमांडर की हत्या का बदला लेने की धमकी दी है।
12 per cent disinvestment in Industrial Promotion and Investment Corporation of Odisha Limited and  20.47 per cent in Odisha Mining Corporation in have also been approved.,ओडिशा माइनिंग कॉर्पोरेशन में विनिवेश की भी मंजूरी दी गई।
"On evacuating the Indian diaspora from the troubled areas, the Spokesman said, if necessary, it will be done.",संकटग्रस्त क्षेत्रों से भारतीय नागरिकों को बाहर निकालने के बारे में प्रवक्ता ने कहा कि यदि आवश्यक हुआ तो इस दिशा में कदम उठाए जायेंगे।
"On the Chabahar Project, he said, the USA has in the past shown understanding of the importance of the project.",चाबहार परियोजना के बारे में प्रवक्ता ने कहा कि अमरीका ने इसके महत्व को समझा था।
Jammu and Kashmir Administrative Council which met under the chairmanship of Lieutenant Governor G C Murmu accorded sanction to J&K Special Sugar Scheme for Antyodaya Anna Yojana (AAY) families.,जम्मू-कश्मीर के उपराज्यपाल गिरीश चन्द्र मुर्मू की अध्यक्षता में हुई जम्मू-कश्मीर प्रशासनिक परिषद की बैठक में अन्त्योदय अन्न योजना के अंतर्गत लाभार्थी परिवारों को जम्मू-कश्मीर विशेष चीनी योजना का लाभ देने का फैसला किया है।
Over  2.33 Lakh families in the Union Territory will receive benefit of the scheme.,"दो लाख 33 हजार से अधिक परिवार इस योजना के अंतर्गत लाभ प्राप्त करेंगे, जिन्हें प्वाइंट ऑफ सेल उपकरण के माध्यम से साढ़े तेरह रुपये प्रति किलोग्राम की दर से प्रतिमाह एक किलो चीनी दी जाएगी।"
Higher reaches of Lahaul Spiti and Chamba received snowfall.,लाहौल-स्पीति और चंबा में बर्फबारी हुई है।
A notification in this regard has been issued by the finance ministry.,मौसम विभाग ने येलो चेतावनी जारी की है।
Several parts of Punjab and Haryana have been lashed by rains in the past three days.,अगले तीन दिन तक कुछ पर्वतीय इलाकों में बर्फबारी और वर्षा होने की संभावना है।
"Inaugurating the games, Chief Minister Sarbanand Sonowal said that the Assam Government has taken various steps to promote sports.",मुख्यमंत्री सर्वानंद सोनोवाल ने कहा है कि राज्य खेलो इंडिया युवा खेलों के तीसरे संस्करण की मेज़बानी से बहुत खुश है।
Tens of thousands in Jakarta were still unable to return to their waterlogged homes after some of the deadliest flooding in years hit the enormous capital region.,कई वर्षों में सबसे भीषण इस बाढ़ में क्षतिग्रस्त हुए सैंकड़ों घरों से हजारों लोग राजधानी क्षेत्र के अस्थायी शरणस्थलों में आ गए।
"Reigning world champion Sindhu, who took the court first was knocked out of the Super 500 badminton tournament by top seed Tai Tzu Ying of Chinese Taipei.",मलेशिया के क्वालालम्पुर में मास्टर्स सुपर 500 बैडमिंटन टूर्नामेंट के महिला सिंगल्स क्वार्टर फाइनल मैच में विश्व चैंपियन बैडमिंटन खिलाड़ी पी वी सिंधु का मुकाबला चीन की नंबर एक खिलाड़ी ताई जू यिंग से होगा।
"In Badminton, several Indian shuttlers will open their campaign at Malaysia Masters at Kuala Lumpur today.",भारत की पी. वी. सिंधू आज क्वालालम्पुर में शुरू हो रहे मलेशिया मास्टर्स सुपर-500 बैडमिंटन टूर्नामेंट में अपना अभियान शुरू करेंगी।
"Alleging that the PFI has links with international terrorist outfit ISIS, he said, it is evident that these anti-national forces are misusing the Madrasas particularly on the Indo-Nepal border for their nefarious activities.","उन्होंने कहा कि ये राष्ट्र-विरोधी तत्व अपनी नापाक गतिविधियों के लिए मदरसों, विशेष रूप से भारत-नेपाल सीमा स्थित मदरसों का दुरूपयोग कर रहे हैं।"
Road connectivity has also been affected in hilly areas of the state.,इससे प्रभावित इलाकों में परिवहन नेटवर्क भी ठप्प पड़ गया।
"Director-General of Civil Aviation said the floods also submerged the runway at Jakarta's Halim Perdanakusumah domestic airport, prompting authorities to close it.",इंडोनेशिया के नागर विमानन महानिदेशालय ने कहा है कि जकार्ता के घरेलू हवाई अड्डे की उड़ानपट्टी भी पानी में डूब गई है जिससे हवाई अड्डे को बंद करना पड़ा है।
"He said, the injured are getting treatment at Badulla District Hospital and condition of some of them is said to be critical.",घायलों को बडूल्ला जिला अस्पताल में भर्ती करा दिया गया है।
The Boston Consulting Group Report has divided the 13 Districts in the AP State into six regions:,रिपोर्ट में आंध्र प्रदेश के 13 जिलों को छह क्षेत्रों में विभाजित किया गया है।
"Thus, the State Government has been working to implement its plan to develop three cities for capital functions.",राज्य सरकार राजधानी से संबंधित गतिविधियों के लिए तीन शहरों के विकास की योजना बना रही है।
Farmers called for Amaravathi Bandh today protesting the recent remarks of Chief Minister in the State Assembly hinting at Executive Capital of AP coming up at Visakhapatnam instead of Amaravathi.,उन्होंने राज्य विधानसभा में मुख्यमंत्री के हाल के उस बयान का विरोध किया है जिसमें आंध्र प्रदेश की कामकाजी राजधानी अमरावती की बजाय विशाखापत्तनम स्थानांतरित किये जाने का संकेत दिया था।
AIR correspondent reports that Lok Sabha Speaker Om Birla also visited the families of the victims today.,लोकसभा अध्यक्ष ओम बिरला ने भी आज पीडि़तों के परिवारों से मुलाकात की और हर संभव सहायता उपलब्ध कराने का आश्वासन दिया।
The multi-disciplinary expert team including top pediatricians is in Kota to take stock of incidences of death of children at JK Lon Hospital.,"इस बीच, कोटा में बच्चों की मौत के कारणों का जायज़ा लेने के लिए बाल रोग विशेषज्ञ सहित कई अन्य विधाओं के विशेषज्ञ जे के लोन अस्पताल पहुंच गए हैं।"
This team has been sent by the Union ministry of health and family welfare for gap analysis and to take quick measures.,केंद्रीय स्वास्थ्य और परिवार कल्याण मंत्रालय ने तुरंत कदम उठाने के लिए यह दल भेजा है।
Mr. Nadda was in Vadodara in connection with BJP’s Jan Jagaran Abhiyan to counter the misinformation being spread on CAA. He alleged that opposition Congress never condemned the violence protest by mobs on this issue.,श्री नड्डा इस अधिनियम पर हो रहे दुष्प्रचार का मुकाबला करने के भाजपा के जन जागरण अभियान के सिलसिले में वड़ोदरा में थे।
"In Uttar Pradesh, various programs under 'Ek Bharat Shreshth Bharat' have been organised.",देश की संस्कृति और समाज को जानने-समझने के लिए एक भारत-श्रेष्ठ भारत अभियान के तहत उत्तरप्रदेश में विभिन्न कार्यक्रम आयेाजित किये गये हैं।
Many schools and colleges are also organizing events to promote Ek Bharat Shreshth Bharat Campaign.,अनेक स्कूलों और कॉलेजों में इस अवसर पर विभिन्न कार्यक्रम आयोजित किये जा रहे हैं।
"Arunachal Pradesh is the partner state of Uttar Pradesh, so cultural exchanges also took place between the two states.","राज्य ने अरूणाचल प्रदेश को भागीदार राज्य बनाया है, इसलिए दोनों राज्यों के बीच सांस्कृतिक आदान-प्रदान होने की भी उम्मीद है।"
